No,ID_SPKLU,Nama_SPKLU,Tagging_SPKLU,Jenis_Lokasi,UP3,Kota_Kab,Latitude,Longitude,Jml_Transaksi,Energi_kWh,Pendapatan_Rp
60,2001,SPKLU BTN Kanwil Jawa Barat,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BANDUNG,KOTA BANDUNG,-6.940122,107.625613,461,10501.92,27978031
61,145,SPKLU PLN ULP BANDUNG TIMUR,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BANDUNG,KOTA BANDUNG,-6.899297,107.641246,502,10290.39,27414565
62,526,SPKLU REST AREA KM 147 A RUAS PADALARANG - CILEUNYI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,BANDUNG,KOTA BANDUNG,-6.96689,107.681659,471,10284.14,27397706
63,308,SPKLU REST AREA KM 229 B RUAS KANCI - PEJAGAN,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,CIREBON,KAB. CIREBON,-6.884346,108.707599,336,10134.2,26998486
64,387,SPKLU Kota Baru Parahyangan,Hijau (Utilisasi Tinggi >50 trx),Perumahan / Township,CIMAHI,KAB. BANDUNG BARAT,-6.86738,107.464925,489,9857.37,25044861
65,305,SPKLU REST AREA KM 130 B RUAS CIPALI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,INDRAMAYU,KAB. INDRAMAYU,-6.576623,107.960126,489,9821.94,25682408
66,608,SPKLU (ARISTA POWER) BYD ARISTA BANDUNG SOETA,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,BANDUNG,KOTA BANDUNG,-6.938495,107.675904,384,9816.4,26152289
67,168,SPKLU PLN UP3 CIANJUR,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,CIANJUR,KAB. CIANJUR,-6.81372,107.136829,405,9538.41,24940606
68,1904,SPKLU PLN MALL LIPPO CIKARANG,Hijau (Utilisasi Tinggi >50 trx),Mall / Retail / Supermarket,CIKARANG,KAB. BEKASI,-6.33345,107.136706,527,9532.09,24689288
69,675,SPKLU PLN GEOWISATA INN,Hijau (Utilisasi Tinggi >50 trx),Hotel / Hospitality,BANDUNG,KOTA BANDUNG,-6.917518,107.578369,438,9093.19,24225477
70,157,SPKLU PLN UP3 DEPOK,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,DEPOK,KOTA DEPOK,-6.418477,106.826865,592,9010.18,23114747
